0: p\16:32735\, p\17:84046\
1: p\16:43535\, p\17:45067\
2: p\16:32542\, p\17:47407\
3: p\16:64118\, p\17:4458\
4: p\16:65021\, p\17:56331\
5: p\16:39415\, p\17:84393\
6: p\16:30645\, p\17:29001\
7: p\16:48895\, p\17:73807\
8: p\16:17951\, p\17:33788\
9: p\16:5461\, p\17:71919\
10: p\16:16383\, p\17:59659\
11: p\16:52970\, p\17:77945\
12: p\16:23983\, p\17:54581\
13: p\16:54705\, p\17:60725\
14: p\16:52945\, p\17:98729\
15: p\16:13951\, p\17:36152\
16: p\16:63311\, p\17:64810\
17: p\16:2167\, p\17:3499\
18: p\16:9657\, p\17:44901\
19: p\16:53183\, p\17:76365\
20: p\16:62590\, p\17:116379\
21: p\16:65495\, p\17:1927\
22: p\16:61082\, p\17:48485\
23: p\16:53113\, p\17:113198\
24: p\16:62783\, p\17:51459\
25: p\16:52351\, p\17:122358\
26: p\16:9855\, p\17:36220\
27: p\16:13919\, p\17:109002\
28: p\16:23999\, p\17:43339\
29: p\16:57807\, p\17:47979\
30: p\16:27903\, p\17:47582\
31: p\16:60145\, p\17:103848\
32: p\16:7642\, p\17:67961\
33: p\16:27514\, p\17:55108\
34: p\16:65214\, p\17:69063\
35: p\16:53209\, p\17:47403\
36: p\16:25203\, p\17:120242\
37: p\16:35692\, p\17:108331\
38: p\16:46960\, p\17:63663\
39: p\16:28308\, p\17:76157\
40: p\16:42623\, p\17:25829\
41: p\16:61871\, p\17:10683\
42: p\16:11955\, p\17:43631\
43: p\16:27455\, p\17:52196\
44: p\16:64925\, p\17:92623\
45: p\16:23967\, p\17:44519\
46: p\16:35917\, p\17:35979\
47: p\16:56849\, p\17:116214\
48: p\16:16253\, p\17:126094\
49: p\16:3098\, p\17:39203\
50: p\16:38783\, p\17:129319\
51: p\16:37919\, p\17:17769\
52: p\16:64981\, p\17:93855\
53: p\16:52807\, p\17:102487\
54: p\16:31829\, p\17:76042\
55: p\16:40575\, p\17:42473\
56: p\16:22251\, p\17:37344\
57: p\16:59996\, p\17:621\
58: p\16:56509\, p\17:12078\
59: p\16:32852\, p\17:1641\
60: p\16:57593\, p\17:40203\
61: p\16:11574\, p\17:43393\
62: p\16:61325\, p\17:42382\
63: p\16:26361\, p\17:57422\
64: p\16:64889\, p\17:40806\
65: p\16:22365\, p\17:109701\
66: p\16:65235\, p\17:24075\
67: p\16:49106\, p\17:66903\
68: p\16:59883\, p\17:44460\
69: p\16:57055\, p\17:92615\
70: p\16:2042\, p\17:91239\
71: p\16:21999\, p\17:115565\
72: p\16:28479\, p\17:108815\
73: p\16:13526\, p\17:126363\
74: p\16:28602\, p\17:43513\
75: p\16:38783\, p\17:39335\
76: p\16:13899\, p\17:49447\
77: p\16:2303\, p\17:62702\
