id, duration, noQbits, nodesNo, brnchNo, solver, solveTime, samplesNo, unqSmplsNo, primesNo, newPrmsNo
20231006143111, 12.968346000000004, 16, , , Advantage2, , 2000, 1934, 286, 245
20231006184934, 2.923371000000003, 16, 160, 420, Advantage2, 1.6023430000000047, 1000, 1000, 39, 72
20231007180540, 7.073360000000001, 4, 26, 54, dann5, 6.857548999999999, 2, 2, 2, 0
20231007180632, 2.8510109999999997, 4, 24, 55, dann5, 1.5902299999999983, 4, 4, 4, 0
20231007181116, 0.9541340000000034, 3, 23, 47, dann5, 0.7726179999999943, 1, 1, 1, 0
20231007181120, 1.7280960000000007, 3, 24, 55, dann5, 1.593716999999998, 4, 4, 4, 0
20231007181217, 9.984287000000002, 16, 160, 420, Advantage2, 4.777058000000004, 1000, 1000, 123, 117
20231007181238, 6.698056000000001, 16, 146, 409, Advantage2, 2.583952999999994, 1000, 1000, 91, 78
20231007181403, 3.2898429999999905, 16, 160, 420, Advantage2, 1.3086669999999998, 1000, 1000, 83, 71
20231007181409, 3.206204999999997, 16, 146, 409, Advantage2, 0.846870999999993, 1000, 1000, 135, 109
20231007181509, 3.868836999999999, 17, 171, 450, Advantage2, 1.4444400000000002, 1000, 1000, 89, 83
20231007181516, 3.5786920000000038, 17, 156, 438, Advantage2, 1.0557539999999932, 1000, 1000, 110, 95
20231007181609, 3.6277160000000066, 17, 171, 450, Advantage2, 1.5248519999999957, 1000, 1000, 68, 62
20231007181615, 4.006276, 17, 156, 438, Advantage2, 0.9024499999999875, 1000, 1000, 143, 133
20231007181742, 4.985711000000009, 18, 182, 480, Advantage2, 1.5853100000000069, 1000, 1000, 128, 122
20231007181749, 4.632733999999999, 18, 166, 467, Advantage2, 1.0260580000000061, 1000, 1000, 139, 136
20231007181815, 4.319064000000012, 18, 182, 480, Advantage2, 1.356394999999992, 1000, 1000, 91, 86
20231007181822, 4.8712560000000025, 18, 166, 467, Advantage2, 1.3298169999999914, 1000, 1000, 140, 126
20231007181923, 380.335673, 119, 1293, 3510, Advantage, 276.176409, 1000, 1000, 0, 0
20231007182546, 190.413615, 119, 1176, 3396, Advantage, 107.14121399999999, 1000, 1000, 0, 0
20231007190149, 209.2590899999999, 119, 1293, 3510, Advantage, 100.10307799999998, 1000, 1000, 0, 0
20231007190523, 127.5613669999999, 119, 1176, 3396, Advantage, 34.94375400000001, 1000, 1000, 0, 0
20231007190838, 129.6440369999999, 119, 1293, 3510, Advantage, 26.35709499999996, 1000, 1000, 0, 0
20231007191051, 137.5261539999999, 119, 1176, 3396, Advantage, 44.37771900000007, 1000, 1000, 0, 0
20231007195228, 707.5245029999999, 119, 1293, 3510, Advantage, 597.05729, 1000, 1000, 0, 0
20231007203327, 139.43965300000013, 119, 1176, 3396, Advantage, 48.50655700000016, 1000, 1000, 0, 0
20231008174626, 851.9318290000001, 119, 1293, 3510, Advantage, 646.8732679999998, 1000, 1000, 0, 0
20231008180315, 279.60100399999965, 119, 1176, 3396, Advantage, 126.88840500000015, 1000, 1000, 0, 0
